height,weight,label
127,50,fat
142,90,fat
156,71,fat
145,81,fat
129,35,normal
171,62,normal
164,60,normal
188,59,thin
177,58,normal
165,35,thin
139,76,fat
168,43,thin
140,46,normal
186,89,fat
183,68,normal
137,44,normal
134,99,fat
162,44,thin
170,84,fat
188,69,normal
157,73,fat
192,51,thin
164,82,fat
173,53,thin
149,72,fat
150,42,normal
169,65,normal
181,48,thin
132,84,fat
179,53,thin
153,90,fat
185,96,fat
159,69,fat
155,41,thin
195,78,normal
130,91,fat
163,84,fat
188,51,thin
160,87,fat
123,85,fat
199,56,thin
185,41,thin
136,44,normal
191,73,normal
157,61,normal
166,73,fat
175,87,fat
132,88,fat
139,36,normal
183,87,fat
193,73,normal
187,47,thin
181,64,normal
199,47,thin
151,72,fat
145,46,normal
133,99,fat
192,59,thin
175,85,fat
149,65,fat
140,42,normal
168,49,thin
184,73,normal
168,81,fat
183,38,thin
130,35,normal
160,53,normal
174,59,normal
127,98,fat
189,72,normal
154,92,fat
151,84,fat
191,48,thin
169,39,thin
189,74,normal
197,42,thin
199,83,normal
152,100,fat
189,74,normal
169,46,thin
195,89,normal
182,74,normal
157,79,fat
163,51,normal
173,100,fat
121,42,fat
175,63,normal
134,88,fat
184,84,normal
135,70,fat
192,44,thin
198,97,normal
166,97,fat
160,46,thin
175,46,thin
181,99,fat
160,68,fat
179,83,fat
153,58,normal
166,36,thin
124,84,fat
141,86,fat
131,91,fat
132,35,normal
136,40,normal
124,93,fat
153,86,fat
189,45,thin
147,53,normal
144,55,fat
125,85,fat
180,59,thin
171,41,thin
136,87,fat
140,100,fat
121,90,fat
180,95,fat
129,46,fat
176,42,thin
148,41,normal
133,68,fat
128,38,normal
165,39,thin
170,61,normal
153,37,thin
179,36,thin
152,69,fat
183,65,normal
199,52,thin
159,88,fat
156,44,thin
151,80,fat
126,44,fat
187,87,normal
157,84,fat
124,42,fat
170,43,thin
143,80,fat
158,56,normal
133,69,fat
183,91,fat
141,96,fat
176,88,fat
130,52,fat
172,94,fat
124,53,fat
197,94,normal
131,97,fat
132,95,fat
126,45,fat
142,79,fat
188,69,normal
162,65,normal
198,60,thin
167,57,normal
151,43,normal
128,69,fat
162,43,thin
164,40,thin
185,82,normal
144,37,thin
170,88,fat
135,86,fat
121,60,fat
198,38,thin
147,58,fat
149,64,fat
137,96,fat
143,76,fat
151,78,fat
169,45,thin
191,45,thin
130,41,normal
143,44,normal
122,74,fat
158,69,fat
171,44,thin
189,80,normal
193,53,thin
125,60,fat
138,35,thin
156,44,thin
145,69,fat
200,49,thin
137,93,fat
132,90,fat
184,65,normal
161,72,fat
193,80,normal
165,42,thin
166,82,fat
197,77,normal
170,73,fat
161,88,fat
140,52,fat
173,76,fat
154,97,fat
148,56,fat
164,95,fat
173,59,normal
128,57,fat
157,89,fat
185,97,fat
154,86,fat
138,90,fat
141,88,fat
149,37,thin
133,66,fat
131,94,fat
168,63,normal
164,96,fat
176,61,normal
133,77,fat
162,70,fat
138,72,fat
122,55,fat
188,35,thin
183,57,thin
151,41,thin
165,76,fat
129,88,fat
182,84,fat
189,68,normal
162,35,thin
177,41,thin
155,49,normal
195,72,normal
194,93,normal
179,85,fat
149,90,fat
120,69,fat
166,94,fat
133,93,fat
124,79,fat
176,65,normal
159,41,thin
192,82,normal
194,98,fat
121,52,fat
183,90,fat
126,41,fat
173,60,normal
168,77,fat
157,46,normal
148,35,thin
178,85,fat
131,75,fat
195,82,normal
153,39,thin
176,42,thin
195,69,thin
154,58,normal
157,51,normal
151,52,normal
148,66,fat
165,46,thin
189,60,thin
185,64,normal
149,82,fat
174,52,thin
164,82,fat
158,60,normal
175,85,fat
167,66,normal
157,83,fat
169,80,fat
165,89,fat
199,89,normal
161,43,thin
160,67,fat
131,38,normal
169,71,normal
189,68,normal
123,99,fat
150,75,fat
161,93,fat
120,95,fat
148,100,fat
163,80,fat
163,46,thin
142,46,normal
120,77,fat
181,95,fat
126,90,fat
187,35,thin
152,50,normal
165,65,normal
186,68,normal
190,42,thin
140,62,fat
189,58,thin
189,56,thin
132,47,fat
174,40,thin
138,90,fat
144,84,fat
150,75,fat
161,72,fat
126,35,normal
136,69,fat
178,39,thin
183,37,thin
161,99,fat
134,63,fat
164,37,thin
160,65,fat
147,96,fat
133,61,fat
155,37,thin
174,79,fat
180,98,fat
198,46,thin
182,92,fat
154,54,normal
140,68,fat
147,72,fat
162,87,fat
136,51,fat
164,40,thin
143,86,fat
197,96,normal
144,88,fat
155,78,fat
200,92,normal
183,58,thin
172,84,fat
199,67,thin
166,98,fat
147,61,fat
124,72,fat
161,43,thin
192,45,thin
126,83,fat
169,54,normal
197,76,normal
130,91,fat
144,99,fat
199,52,thin
188,48,thin
193,73,normal
164,89,fat
138,94,fat
200,44,thin
160,35,thin
192,87,normal
198,94,normal
147,100,fat
170,59,normal
160,73,fat
170,83,fat
153,72,fat
136,96,fat
198,56,thin
169,54,normal
138,37,normal
169,92,fat
141,94,fat
125,91,fat
194,50,thin
163,90,fat
172,58,normal
154,71,fat
140,81,fat
137,54,fat
140,48,normal
199,38,thin
182,85,fat
194,60,thin
132,95,fat
152,71,fat
138,58,fat
139,72,fat
122,52,fat
128,55,fat
135,82,fat
147,57,fat
167,78,fat
194,97,fat
195,49,thin
153,95,fat
141,78,fat
153,75,fat
154,78,fat
146,43,normal
164,91,fat
189,97,fat
126,41,fat
135,96,fat
149,97,fat
132,42,normal
176,64,normal
185,38,thin
193,68,thin
170,76,fat
173,41,thin
129,87,fat
154,77,fat
167,94,fat
127,77,fat
158,45,thin
160,42,thin
196,97,fat
195,47,thin
123,96,fat
120,73,fat
120,37,fat
178,84,fat
147,44,normal
135,74,fat
141,35,thin
172,63,normal
122,68,fat
180,94,fat
138,72,fat
187,71,normal
190,83,normal
160,45,thin
166,92,fat
198,63,thin
171,75,fat
191,90,normal
138,59,fat
152,59,fat
139,67,fat
165,79,fat
152,64,fat
143,96,fat
166,40,thin
182,51,thin
174,37,thin
125,74,fat
124,59,fat
152,35,thin
168,60,normal
190,63,thin
200,99,normal
132,81,fat
132,59,fat
183,74,normal
179,44,thin
139,53,fat
168,76,fat
155,97,fat
125,56,fat
193,77,normal
194,76,normal
156,96,fat
181,59,thin
179,72,normal
165,80,fat
160,40,thin
172,71,normal
159,87,fat
160,78,fat
193,93,normal
133,87,fat
135,56,fat
175,87,fat
121,98,fat
157,96,fat
156,64,fat
146,46,normal
130,81,fat
120,95,fat
191,46,thin
154,77,fat
157,56,normal
125,85,fat
181,81,normal
177,50,thin
192,69,normal
183,68,normal
134,87,fat
132,87,fat
169,35,thin
198,43,thin
186,86,normal
124,87,fat
170,75,fat
173,83,fat
168,78,fat
136,66,fat
182,70,normal
156,95,fat
168,42,thin
132,82,fat
187,89,fat
176,47,thin
127,52,fat
157,85,fat
196,50,thin
122,98,fat
169,70,normal
192,56,thin
128,95,fat
150,83,fat
161,40,thin
123,93,fat
163,42,thin
128,86,fat
178,72,normal
137,59,fat
162,87,fat
159,69,fat
128,41,fat
161,66,fat
192,42,thin
193,89,normal
137,47,fat
196,73,normal
197,94,normal
195,97,fat
184,59,thin
181,68,normal
120,92,fat
173,80,fat
135,86,fat
197,97,normal
180,68,normal
124,42,fat
166,81,fat
159,98,fat
151,76,fat
132,41,normal
184,94,fat
156,61,fat
179,37,thin
169,50,thin
157,36,thin
130,45,fat
172,44,thin
149,59,fat
145,87,fat
143,86,fat
135,48,fat
163,90,fat
190,53,thin
133,80,fat
148,58,fat
132,81,fat
195,99,fat
126,91,fat
163,71,fat
148,59,fat
138,69,fat
141,73,fat
187,91,fat
122,88,fat
159,93,fat
147,62,fat
152,46,normal
147,68,fat
194,56,thin
176,54,thin
195,66,thin
194,87,normal
148,73,fat
193,96,fat
174,81,fat
156,50,normal
178,78,normal
169,80,fat
131,94,fat
141,91,fat
151,93,fat
184,74,normal
158,63,fat
182,56,thin
158,93,fat
134,92,fat
133,93,fat
199,50,thin
161,85,fat
126,74,fat
135,45,normal
127,72,fat
145,48,normal
173,78,fat
167,78,fat
120,80,fat
130,80,fat
192,69,normal
149,63,fat
164,83,fat
139,73,fat
167,93,fat
169,56,normal
138,72,fat
139,72,fat
131,96,fat
148,37,thin
160,92,fat
197,87,normal
188,42,thin
179,86,fat
168,80,fat
148,75,fat
133,65,fat
186,82,normal
151,84,fat
148,95,fat
166,42,thin
131,51,fat
198,80,normal
200,85,normal
169,94,fat
151,70,fat
177,85,fat
154,63,fat
182,38,thin
166,38,thin
148,91,fat
197,52,thin
123,70,fat
168,98,fat
138,42,normal
148,43,normal
191,74,normal
126,100,fat
178,71,normal
122,84,fat
143,86,fat
179,89,fat
200,67,thin
182,88,fat
120,64,fat
154,91,fat
159,86,fat
174,42,thin
143,42,normal
171,72,normal
175,36,thin
155,77,fat
122,56,fat
189,45,thin
178,89,fat
189,86,normal
159,70,fat
182,54,thin
146,58,fat
157,81,fat
183,51,thin
196,70,thin
138,86,fat
171,83,fat
170,69,normal
141,71,fat
150,36,thin
192,36,thin
153,35,thin
161,55,normal
184,63,normal
168,52,thin
176,51,thin
140,46,normal
189,43,thin
152,76,fat
149,66,fat
177,41,thin
181,76,normal
146,35,thin
189,79,normal
122,87,fat
191,100,fat
143,100,fat
198,41,thin
145,39,normal
156,57,normal
184,47,thin
188,69,normal
151,66,fat
130,41,normal
166,53,normal
190,94,fat
130,98,fat
120,58,fat
161,46,thin
173,49,thin
198,89,normal
185,50,thin
152,83,fat
193,46,thin
168,65,normal
186,88,fat
189,39,thin
130,99,fat
131,99,fat
182,58,thin
148,96,fat
143,45,normal
161,87,fat
175,99,fat
135,82,fat
140,46,normal
147,81,fat
154,71,fat
129,57,fat
131,86,fat
176,51,thin
124,61,fat
154,84,fat
143,78,fat
133,60,fat
157,92,fat
157,38,thin
125,47,fat
127,77,fat
197,90,normal
195,96,fat
128,61,fat
150,53,normal
153,48,normal
150,62,fat
127,63,fat
196,86,normal
191,61,thin
177,62,normal
196,55,thin
166,90,fat
157,67,fat
147,46,normal
157,45,thin
142,51,fat
156,74,fat
151,86,fat
176,63,normal
170,87,fat
147,86,fat
131,100,fat
130,43,fat
134,83,fat
198,78,normal
151,44,normal
160,98,fat
192,47,thin
193,83,normal
124,63,fat
165,68,normal
186,93,fat
136,91,fat
129,73,fat
164,99,fat
196,93,normal
167,80,fat
121,78,fat
140,81,fat
138,64,fat
131,53,fat
180,80,normal
143,75,fat
158,81,fat
136,63,fat
185,98,fat
191,88,normal
195,55,thin
181,74,normal
152,84,fat
136,79,fat
151,86,fat
167,72,fat
124,74,fat
149,46,normal
166,90,fat
145,39,normal
189,52,thin
188,40,thin
190,75,normal
175,92,fat
143,52,fat
154,78,fat
176,49,thin
189,44,thin
160,38,thin
169,53,normal
141,39,normal
124,89,fat
125,72,fat
186,67,normal
144,73,fat
147,48,normal
184,48,thin
197,56,thin
153,96,fat
158,51,normal
161,36,thin
158,46,thin
176,92,fat
167,61,normal
128,88,fat
171,68,normal
135,58,fat
184,92,fat
144,50,normal
165,46,thin
188,81,normal
198,53,thin
160,52,normal
133,50,fat
162,61,normal
191,79,normal
167,72,fat
149,41,thin
177,65,normal
171,75,fat
198,86,normal
129,80,fat
161,95,fat
182,48,thin
172,39,thin
180,75,normal
167,58,normal
157,72,fat
126,42,fat
144,92,fat
178,46,thin
120,100,fat
123,89,fat
133,43,normal
160,68,fat
145,92,fat
160,45,thin
143,55,fat
155,63,fat
124,74,fat
145,77,fat
190,100,fat
163,56,normal
189,70,normal
195,94,normal
158,57,normal
158,43,thin
196,50,thin
129,85,fat
180,94,fat
199,97,normal
130,81,fat
128,98,fat
181,66,normal
184,82,normal
165,76,fat
120,85,fat
193,88,normal
177,60,normal
179,58,thin
153,97,fat
125,91,fat
191,74,normal
133,77,fat
126,42,fat
200,45,thin
189,56,thin
121,61,fat
150,60,fat
166,53,normal
157,67,fat
178,36,thin
173,72,normal
184,77,normal
172,72,normal
141,64,fat
160,51,normal
164,62,normal
128,98,fat
129,38,normal
187,44,thin
125,61,fat
198,72,thin
159,82,fat
179,90,fat
124,96,fat
129,90,fat
153,94,fat
163,93,fat
190,35,thin
190,46,thin
133,67,fat
164,57,normal
172,37,thin
198,85,normal
123,77,fat
173,74,normal
125,65,fat
163,99,fat
159,99,fat
190,86,normal
161,62,normal
150,45,normal
136,37,normal
160,39,thin
141,91,fat
189,40,thin
185,51,thin
148,81,fat
150,75,fat
173,77,fat
158,65,fat
151,99,fat
142,42,normal
170,91,fat
140,46,normal
126,61,fat
186,46,thin
159,67,fat
191,51,thin
169,58,normal
182,48,thin
197,60,thin
163,64,normal
199,69,thin
134,58,fat
154,74,fat
136,81,fat
186,98,fat
166,77,fat
133,82,fat
128,80,fat
192,59,thin
123,51,fat
189,91,fat
153,59,fat
161,36,thin
172,50,thin
193,47,thin
188,99,fat
133,61,fat
160,99,fat
166,89,fat
170,52,thin
178,80,fat
197,91,normal
176,45,thin
175,58,normal
146,71,fat
160,54,normal
144,56,fat
189,54,thin
195,42,thin
195,38,thin
192,81,normal
186,53,thin
187,60,thin
133,70,fat
193,45,thin
140,92,fat
133,59,fat
136,38,normal
141,36,thin
149,61,fat
157,92,fat
163,53,normal
164,64,normal
145,90,fat
198,66,thin
151,57,normal
177,52,thin
150,75,fat
149,80,fat
152,81,fat
140,43,normal
120,36,fat
129,77,fat
174,37,thin
155,85,fat
130,90,fat
189,53,thin
183,44,thin
158,93,fat
145,53,fat
179,83,fat
151,99,fat
185,41,thin
141,85,fat
157,81,fat
181,62,normal
152,40,thin
154,49,normal
198,61,thin
166,91,fat
194,91,normal
174,80,fat
168,66,normal
191,44,thin
140,85,fat
151,66,fat
175,59,normal
199,59,thin
148,67,fat
145,84,fat
150,68,fat
161,74,fat
148,83,fat
145,93,fat
198,67,thin
144,80,fat
158,86,fat
198,40,thin
179,42,thin
170,69,normal
161,69,fat
137,87,fat
134,78,fat
196,85,normal
175,89,fat
120,96,fat
147,45,normal
137,65,fat
159,35,thin
183,71,normal
164,64,normal
128,35,normal
127,93,fat
150,78,fat
156,56,normal
142,85,fat
174,46,thin
133,41,normal
175,76,normal
151,92,fat
164,96,fat
127,80,fat
151,92,fat
141,49,normal
155,45,normal
141,59,fat
171,62,normal
176,52,thin
156,39,thin
200,91,normal
187,78,normal
199,53,thin
174,84,fat
181,78,normal
169,97,fat
194,76,normal
142,61,fat
131,82,fat
148,85,fat
170,61,normal
169,85,fat
183,52,thin
182,60,thin
156,99,fat
173,60,normal
120,95,fat
141,71,fat
164,97,fat
150,96,fat
193,42,thin
197,91,normal
129,38,normal
129,39,normal
161,55,normal
199,54,thin
132,51,fat
173,95,fat
199,77,normal
146,78,fat
131,91,fat
182,63,normal
177,95,fat
192,67,thin
175,57,normal
125,46,fat
181,91,fat
183,35,thin
192,67,thin
192,62,thin
152,100,fat
191,79,normal
129,52,fat
154,47,normal
172,58,normal
137,62,fat
129,57,fat
142,41,normal
142,60,fat
159,72,fat
169,93,fat
121,79,fat
178,71,normal
158,41,thin
137,100,fat
151,61,fat
190,42,thin
143,86,fat
120,47,fat
147,64,fat
161,95,fat
187,39,thin
140,36,thin
192,91,normal
160,95,fat
128,92,fat
166,78,fat
175,80,fat
122,75,fat
151,68,fat
121,45,fat
154,86,fat
126,57,fat
193,85,normal
183,85,fat
162,53,normal
147,41,normal
138,97,fat
177,50,thin
170,77,fat
166,53,normal
171,42,thin
134,88,fat
135,55,fat
198,55,thin
148,64,fat
154,57,normal
179,39,thin
180,66,normal
140,37,normal
187,48,thin
165,60,normal
170,95,fat
160,94,fat
198,48,thin
161,61,normal
195,76,normal
195,37,thin
131,54,fat
189,90,fat
164,35,thin
131,93,fat
149,38,thin
132,69,fat
189,43,thin
185,59,thin
192,36,thin
197,90,normal
183,42,thin
168,63,normal
182,58,thin
122,77,fat
148,72,fat
125,92,fat
157,91,fat
190,83,normal
177,53,thin
180,35,thin
199,67,thin
143,99,fat
141,100,fat
162,81,fat
120,64,fat
181,83,fat
181,69,normal
161,71,fat
120,45,fat
123,41,fat
124,50,fat
192,76,normal
144,61,fat
178,96,fat
196,74,normal
138,75,fat
168,37,thin
149,39,thin
198,57,thin
172,81,fat
174,65,normal
172,66,normal
147,63,fat
157,64,fat
149,56,fat
121,50,fat
197,86,normal
195,40,thin
174,46,thin
194,89,normal
198,77,normal
157,79,fat
122,57,fat
192,53,thin
200,92,normal
189,38,thin
195,41,thin
160,45,thin
169,56,normal
130,74,fat
199,62,thin
165,48,thin
169,48,thin
166,41,thin
142,99,fat
154,41,thin
164,81,fat
125,61,fat
167,59,normal
155,96,fat
161,70,fat
148,71,fat
136,45,normal
139,76,fat
180,42,thin
173,57,normal
152,79,fat
170,98,fat
157,63,fat
181,53,thin
145,55,fat
138,100,fat
120,44,fat
162,69,fat
150,74,fat
120,70,fat
149,95,fat
154,67,fat
146,36,thin
146,37,thin
122,61,fat
190,39,thin
190,79,normal
139,47,normal
167,80,fat
129,76,fat
197,77,normal
158,81,fat
147,52,normal
134,37,normal
141,49,normal
195,68,thin
146,94,fat
150,100,fat
185,51,thin
179,59,thin
173,37,thin
151,88,fat
193,63,thin
166,44,thin
167,78,fat
122,98,fat
147,84,fat
128,44,fat
154,95,fat
155,39,thin
134,72,fat
146,84,fat
166,78,fat
167,46,thin
166,78,fat
144,82,fat
172,73,normal
193,57,thin
132,65,fat
151,72,fat
169,80,fat
160,72,fat
145,81,fat
174,99,fat
155,42,thin
191,82,normal
157,78,fat
198,43,thin
124,99,fat
187,87,normal
148,72,fat
181,53,thin
177,91,fat
135,75,fat
143,52,fat
181,41,thin
135,47,fat
177,95,fat
127,38,normal
165,40,thin
179,50,thin
196,56,thin
155,42,thin
174,47,thin
182,92,fat
176,84,fat
171,99,fat
195,41,thin
124,82,fat
193,58,thin
182,42,thin
180,40,thin
169,55,normal
191,82,normal
130,74,fat
121,43,fat
165,39,thin
130,94,fat
158,98,fat
126,66,fat
125,71,fat
123,87,fat
139,81,fat
144,96,fat
174,36,thin
149,48,normal
138,46,normal
190,37,thin
146,86,fat
148,38,thin
137,100,fat
172,94,fat
136,77,fat
171,58,normal
176,68,normal
120,98,fat
127,52,fat
184,88,fat
120,87,fat
179,100,fat
177,80,fat
196,62,thin
166,45,thin
184,54,thin
161,88,fat
154,93,fat
121,92,fat
124,40,fat
176,52,thin
187,96,fat
161,36,thin
155,54,normal
183,50,thin
186,96,fat
149,48,normal
198,67,thin
177,44,thin
144,78,fat
142,57,fat
180,39,thin
193,36,thin
156,72,fat
186,82,normal
163,46,thin
172,43,thin
179,53,thin
123,47,fat
136,36,normal
190,67,normal
198,51,thin
161,44,thin
146,79,fat
194,98,fat
149,86,fat
189,99,fat
138,89,fat
193,70,normal
128,46,fat
183,73,normal
167,99,fat
157,58,normal
139,96,fat
124,83,fat
191,91,normal
163,99,fat
197,76,normal
182,35,thin
173,42,thin
199,82,normal
183,76,normal
152,52,normal
137,79,fat
194,35,thin
180,95,fat
124,57,fat
186,41,thin
127,36,normal
123,48,fat
181,38,thin
158,49,normal
160,41,thin
172,41,thin
184,92,fat
195,90,normal
193,77,normal
134,63,fat
165,92,fat
168,70,normal
197,42,thin
147,71,fat
163,55,normal
133,46,fat
137,38,normal
184,60,thin
125,43,fat
173,85,fat
181,89,fat
134,74,fat
130,100,fat
129,60,fat
134,73,fat
160,100,fat
135,42,normal
148,95,fat
169,41,thin
167,38,thin
123,87,fat
133,98,fat
192,45,thin
187,73,normal
185,59,thin
128,88,fat
124,51,fat
130,59,fat
125,43,fat
135,95,fat
134,87,fat
172,64,normal
171,42,thin
122,44,fat
147,46,normal
172,84,fat
168,39,thin
153,89,fat
137,92,fat
131,99,fat
159,65,fat
147,69,fat
195,53,thin
149,42,normal
170,74,fat
141,52,fat
192,70,normal
134,55,fat
131,79,fat
131,70,fat
163,94,fat
197,68,thin
139,49,fat
196,47,thin
137,48,fat
137,59,fat
163,46,thin
172,43,thin
126,64,fat
185,98,fat
175,52,thin
125,45,fat
125,69,fat
166,55,normal
193,42,thin
195,69,thin
159,51,normal
161,85,fat
177,57,thin
140,65,fat
122,68,fat
148,57,fat
120,57,fat
171,35,thin
153,55,normal
199,78,normal
141,94,fat
165,64,normal
163,79,fat
186,86,normal
123,65,fat
172,53,thin
138,94,fat
169,98,fat
200,70,thin
171,85,fat
178,59,normal
140,60,fat
194,86,normal
158,55,normal
139,52,fat
151,88,fat
147,40,normal
157,100,fat
155,91,fat
188,38,thin
139,75,fat
141,81,fat
147,66,fat
125,49,fat
200,58,thin
128,61,fat
166,89,fat
122,62,fat
150,60,fat
132,38,normal
120,83,fat
157,69,fat
130,82,fat
133,54,fat
130,75,fat
154,50,normal
160,98,fat
144,86,fat
163,72,fat
190,46,thin
192,90,normal
138,84,fat
133,69,fat
140,56,fat
192,68,thin
126,68,fat
155,53,normal
130,91,fat
145,64,fat
184,59,thin
196,54,thin
168,71,fat
137,63,fat
194,81,normal
132,53,fat
157,70,fat
131,93,fat
191,69,normal
168,54,normal
157,73,fat
190,97,fat
147,42,normal
178,90,fat
170,94,fat
136,75,fat
153,54,normal
150,100,fat
178,43,thin
184,60,thin
131,64,fat
193,89,normal
190,66,thin
132,46,fat
196,44,thin
169,73,fat
198,99,fat
174,70,normal
190,74,normal
127,52,fat
134,97,fat
170,44,thin
190,100,fat
195,59,thin
160,44,thin
165,87,fat
172,47,thin
189,82,normal
156,77,fat
127,93,fat
149,58,fat
167,82,fat
181,40,thin
132,90,fat
130,52,fat
123,43,fat
141,51,fat
173,73,normal
153,85,fat
122,77,fat
184,41,thin
158,69,fat
120,37,fat
134,50,fat
180,90,fat
161,94,fat
162,95,fat
197,39,thin
151,94,fat
139,67,fat
167,91,fat
123,43,fat
129,47,fat
124,60,fat
178,97,fat
193,95,fat
152,57,normal
161,69,fat
172,67,normal
164,40,thin
121,63,fat
182,97,fat
135,50,fat
170,40,thin
166,95,fat
120,66,fat
168,83,fat
126,91,fat
173,99,fat
193,38,thin
176,94,fat
160,36,thin
143,71,fat
157,89,fat
173,52,thin
131,43,fat
133,89,fat
198,91,normal
129,58,fat
134,54,fat
132,60,fat
170,60,normal
168,45,thin
164,38,thin
172,64,normal
127,35,normal
182,73,normal
191,57,thin
186,35,thin
165,78,fat
178,73,normal
176,51,thin
188,95,fat
168,36,thin
125,37,normal
195,96,fat
181,50,thin
179,74,normal
129,42,fat
157,88,fat
187,58,thin
151,49,normal
140,40,normal
146,38,thin
166,98,fat
177,44,thin
175,39,thin
183,40,thin
182,51,thin
132,96,fat
130,84,fat
120,44,fat
144,99,fat
144,77,fat
133,78,fat
171,92,fat
165,44,thin
177,49,thin
149,67,fat
192,98,fat
146,65,fat
141,64,fat
182,78,normal
180,92,fat
134,35,normal
166,85,fat
165,65,normal
151,97,fat
182,64,normal
137,57,fat
189,95,fat
166,55,normal
195,65,thin
138,97,fat
120,65,fat
169,86,fat
145,41,normal
187,42,thin
160,96,fat
180,85,fat
160,55,normal
175,82,fat
153,37,thin
171,38,thin
136,38,normal
181,100,fat
159,97,fat
173,45,thin
137,41,normal
196,94,normal
165,83,fat
125,99,fat
130,46,fat
189,47,thin
123,90,fat
187,40,thin
122,68,fat
150,40,thin
174,63,normal
178,46,thin
170,35,thin
182,81,normal
165,80,fat
175,51,thin
159,94,fat
190,58,thin
143,78,fat
158,69,fat
185,73,normal
159,92,fat
170,66,normal
167,71,fat
136,49,fat
122,51,fat
133,92,fat
176,62,normal
152,39,thin
186,40,thin
166,53,normal
166,45,thin
196,64,thin
150,54,normal
180,64,normal
152,81,fat
158,97,fat
145,86,fat
179,89,fat
156,100,fat
198,44,thin
176,77,normal
136,42,normal
129,54,fat
184,68,normal
198,77,normal
187,93,fat
175,60,normal
168,56,normal
151,41,thin
155,40,thin
187,62,thin
164,37,thin
124,77,fat
187,96,fat
170,52,thin
176,78,fat
178,37,thin
182,82,normal
187,78,normal
157,69,fat
122,84,fat
156,67,fat
190,59,thin
196,44,thin
124,93,fat
132,88,fat
193,72,normal
138,51,fat
191,99,fat
179,57,thin
121,93,fat
194,58,thin
138,82,fat
164,90,fat
141,60,fat
166,53,normal
153,73,fat
162,83,fat
153,83,fat
173,38,thin
127,82,fat
187,86,normal
140,46,normal
170,48,thin
147,82,fat
164,73,fat
194,81,normal
161,75,fat
195,65,thin
182,77,normal
122,39,fat
161,92,fat
187,36,thin
171,69,normal
122,35,normal
178,77,normal
196,40,thin
171,46,thin
133,83,fat
137,48,fat
128,70,fat
163,73,fat
150,39,thin
125,82,fat
146,57,fat
186,72,normal
142,93,fat
124,44,fat
125,87,fat
137,66,fat
179,66,normal
194,58,thin
159,76,fat
167,51,thin
193,46,thin
180,81,fat
125,84,fat
124,78,fat
172,84,fat
188,66,normal
185,57,thin
150,100,fat
189,81,normal
132,95,fat
138,62,fat
136,66,fat
179,37,thin
184,61,thin
134,37,normal
172,72,normal
167,97,fat
151,42,thin
184,93,fat
158,75,fat
163,64,normal
156,36,thin
169,51,thin
197,97,normal
166,83,fat
168,70,normal
123,80,fat
140,93,fat
169,49,thin
191,44,thin
134,72,fat
166,91,fat
161,72,fat
156,67,fat
144,47,normal
173,47,thin
174,89,fat
130,36,normal
163,77,fat
156,89,fat
190,70,normal
141,68,fat
181,81,normal
195,99,fat
173,91,fat
193,77,normal
194,79,normal
178,45,thin
154,35,thin
120,68,fat
176,60,normal
